county,facility_name,reporting_month,mental_health_prevalence,mental_health_burden_daly,patients_screened,patients_treated,treatment_gap,reporting_year,reporting_quarter,treatment_rate,unmet_need
Nairobi,Nairobi County Referral Hospital,2023-05-01,0.1324,4337.4,54,24,0.5556,2023,Q2,0.4444,30
Nairobi,Nairobi County Referral Hospital,2023-06-01,0.1324,4337.4,66,27,0.5909,2023,Q2,0.4091,39
Nairobi,Nairobi County Referral Hospital,2023-07-01,0.1324,4337.4,55,40,0.2727,2023,Q3,0.7273,15
Nairobi,Nairobi County Referral Hospital,2023-08-01,0.1324,4337.4,52,22,0.5769,2023,Q3,0.4231,30
Nairobi,Nairobi County Referral Hospital,2023-09-01,0.1324,4337.4,54,34,0.3704,2023,Q3,0.6296,20
Nairobi,Nairobi County Referral Hospital,2023-10-01,0.1324,4337.4,54,24,0.5556,2023,Q4,0.4444,30
Nairobi,Nairobi County Referral Hospital,2023-11-01,0.1324,4337.4,41,24,0.4146,2023,Q4,0.5854,17
Nairobi,Nairobi County Referral Hospital,2023-12-01,0.1324,4337.4,66,25,0.6212,2023,Q4,0.3788,41
Nairobi,Nairobi Sub-County Hospital,2022-01-01,0.1324,4337.4,91,36,0.6044,2022,Q1,0.3956,55
Nairobi,Nairobi Sub-County Hospital,2022-02-01,0.1324,4337.4,90,29,0.6778,2022,Q1,0.3222,61
Nairobi,Nairobi Sub-County Hospital,2022-03-01,0.1324,4337.4,107,66,0.3832,2022,Q1,0.6168,41
Nairobi,Nairobi Sub-County Hospital,2022-04-01,0.1324,4337.4,89,48,0.4607,2022,Q2,0.5393,41
Nairobi,Nairobi Sub-County Hospital,2022-05-01,0.1324,4337.4,97,70,0.2784,2022,Q2,0.7216,27
Nairobi,Nairobi Sub-County Hospital,2022-06-01,0.1324,4337.4,87,37,0.5747,2022,Q2,0.4253,50
Nairobi,Nairobi Sub-County Hospital,2022-07-01,0.1324,4337.4,88,57,0.3523,2022,Q3,0.6477,31
Nairobi,Nairobi Sub-County Hospital,2022-08-01,0.1324,4337.4,94,52,0.4468,2022,Q3,0.5532,42
Nairobi,Nairobi Sub-County Hospital,2022-09-01,0.1324,4337.4,82,34,0.5854,2022,Q3,0.4146,48
Nairobi,Nairobi Sub-County Hospital,2022-10-01,0.1324,4337.4,75,53,0.2933,2022,Q4,0.7067,22
Nairobi,Nairobi Sub-County Hospital,2022-11-01,0.1324,4337.4,83,36,0.5663,2022,Q4,0.4337,47
Nairobi,Nairobi Sub-County Hospital,2022-12-01,0.1324,4337.4,83,45,0.4578,2022,Q4,0.5422,38
Nairobi,Nairobi Sub-County Hospital,2023-01-01,0.1324,4337.4,82,53,0.3537,2023,Q1,0.6463,29
Nairobi,Nairobi Sub-County Hospital,2023-02-01,0.1324,4337.4,95,45,0.5263,2023,Q1,0.4737,50
Nairobi,Nairobi Sub-County Hospital,2023-03-01,0.1324,4337.4,90,55,0.3889,2023,Q1,0.6111,35
Nairobi,Nairobi Sub-County Hospital,2023-04-01,0.1324,4337.4,77,26,0.6623,2023,Q2,0.3377,51
Nairobi,Nairobi Sub-County Hospital,2023-05-01,0.1324,4337.4,97,60,0.3814,2023,Q2,0.6186,37
Nairobi,Nairobi Sub-County Hospital,2023-06-01,0.1324,4337.4,79,34,0.5696,2023,Q2,0.4304,45
Nairobi,Nairobi Sub-County Hospital,2023-07-01,0.1324,4337.4,89,41,0.5393,2023,Q3,0.4607,48
Nairobi,Nairobi Sub-County Hospital,2023-08-01,0.1324,4337.4,72,26,0.6389,2023,Q3,0.3611,46
Nairobi,Nairobi Sub-County Hospital,2023-09-01,0.1324,4337.4,66,51,0.2273,2023,Q3,0.7727,15
Nairobi,Nairobi Sub-County Hospital,2023-10-01,0.1324,4337.4,85,59,0.3059,2023,Q4,0.6941,26
Nairobi,Nairobi Sub-County Hospital,2023-11-01,0.1324,4337.4,82,44,0.4634,2023,Q4,0.5366,38
Nairobi,Nairobi Sub-County Hospital,2023-12-01,0.1324,4337.4,90,64,0.2889,2023,Q4,0.7111,26
Nairobi,Nairobi Health Centre A,2022-01-01,0.1324,4337.4,95,40,0.5789,2022,Q1,0.4211,55
Nairobi,Nairobi Health Centre A,2022-02-01,0.1324,4337.4,80,60,0.25,2022,Q1,0.75,20
Nairobi,Nairobi Health Centre A,2022-03-01,0.1324,4337.4,119,70,0.4118,2022,Q1,0.5882,49
Nairobi,Nairobi Health Centre A,2022-04-01,0.1324,4337.4,97,30,0.6907,2022,Q2,0.3093,67
Nairobi,Nairobi Health Centre A,2022-05-01,0.1324,4337.4,85,54,0.3647,2022,Q2,0.6353,31
Nairobi,Nairobi Health Centre A,2022-06-01,0.1324,4337.4,75,51,0.32,2022,Q2,0.68,24
Nairobi,Nairobi Health Centre A,2022-07-01,0.1324,4337.4,96,35,0.6354,2022,Q3,0.3646,61
Nairobi,Nairobi Health Centre A,2022-08-01,0.1324,4337.4,70,35,0.5,2022,Q3,0.5,35
Nairobi,Nairobi Health Centre A,2022-09-01,0.1324,4337.4,87,50,0.4253,2022,Q3,0.5747,37
Nairobi,Nairobi Health Centre A,2022-10-01,0.1324,4337.4,89,26,0.7079,2022,Q4,0.2921,63
Nairobi,Nairobi Health Centre A,2022-11-01,0.1324,4337.4,82,53,0.3537,2022,Q4,0.6463,29
Nairobi,Nairobi Health Centre A,2022-12-01,0.1324,4337.4,102,44,0.5686,2022,Q4,0.4314,58
Nairobi,Nairobi Health Centre A,2023-01-01,0.1324,4337.4,80,44,0.45,2023,Q1,0.55,36
Nairobi,Nairobi Health Centre A,2023-02-01,0.1324,4337.4,92,47,0.4891,2023,Q1,0.5109,45
Nairobi,Nairobi Health Centre A,2023-03-01,0.1324,4337.4,115,76,0.3391,2023,Q1,0.6609,39
Nairobi,Nairobi Health Centre A,2023-04-01,0.1324,4337.4,120,55,0.5417,2023,Q2,0.4583,65
Nairobi,Nairobi Health Centre A,2023-05-01,0.1324,4337.4,88,41,0.5341,2023,Q2,0.4659,47
Nairobi,Nairobi Health Centre A,2023-06-01,0.1324,4337.4,99,70,0.2929,2023,Q2,0.7071,29
Nairobi,Nairobi Health Centre A,2023-07-01,0.1324,4337.4,66,39,0.4091,2023,Q3,0.5909,27
Nairobi,Nairobi Health Centre A,2023-08-01,0.1324,4337.4,78,56,0.2821,2023,Q3,0.7179,22
Nairobi,Nairobi Health Centre A,2023-09-01,0.1324,4337.4,84,62,0.2619,2023,Q3,0.7381,22
Nairobi,Nairobi Health Centre A,2023-10-01,0.1324,4337.4,66,26,0.6061,2023,Q4,0.3939,40
Nairobi,Nairobi Health Centre A,2023-11-01,0.1324,4337.4,82,34,0.5854,2023,Q4,0.4146,48
Nairobi,Nairobi Health Centre A,2023-12-01,0.1324,4337.4,87,35,0.5977,2023,Q4,0.4023,52
Nairobi,Nairobi Health Centre B,2022-01-01,0.1324,4337.4,94,44,0.5319,2022,Q1,0.4681,50
Nairobi,Nairobi Health Centre B,2022-02-01,0.1324,4337.4,82,52,0.3659,2022,Q1,0.6341,30
Nairobi,Nairobi Health Centre B,2022-03-01,0.1324,4337.4,88,46,0.4773,2022,Q1,0.5227,42
Nairobi,Nairobi Health Centre B,2022-04-01,0.1324,4337.4,80,27,0.6625,2022,Q2,0.3375,53
Nairobi,Nairobi Health Centre B,2022-05-01,0.1324,4337.4,104,29,0.7212,2022,Q2,0.2788,75
Nairobi,Nairobi Health Centre B,2022-06-01,0.1324,4337.4,89,24,0.7303,2022,Q2,0.2697,65
Nairobi,Nairobi Health Centre B,2022-07-01,0.1324,4337.4,73,31,0.5753,2022,Q3,0.4247,42
Nairobi,Nairobi Health Centre B,2022-08-01,0.1324,4337.4,73,22,0.6986,2022,Q3,0.3014,51
Nairobi,Nairobi Health Centre B,2022-09-01,0.1324,4337.4,81,36,0.5556,2022,Q3,0.4444,45
Nairobi,Nairobi Health Centre B,2022-10-01,0.1324,4337.4,61,36,0.4098,2022,Q4,0.5902,25
Nairobi,Nairobi Health Centre B,2022-11-01,0.1324,4337.4,74,29,0.6081,2022,Q4,0.3919,45
Nairobi,Nairobi Health Centre B,2022-12-01,0.1324,4337.4,67,27,0.597,2022,Q4,0.403,40
Nairobi,Nairobi Health Centre B,2023-01-01,0.1324,4337.4,86,52,0.3953,2023,Q1,0.6047,34
Nairobi,Nairobi Health Centre B,2023-02-01,0.1324,4337.4,95,68,0.2842,2023,Q1,0.7158,27
Nairobi,Nairobi Health Centre B,2023-03-01,0.1324,4337.4,73,46,0.3699,2023,Q1,0.6301,27
Nairobi,Nairobi Health Centre B,2023-04-01,0.1324,4337.4,82,46,0.439,2023,Q2,0.561,36
Nairobi,Nairobi Health Centre B,2023-05-01,0.1324,4337.4,92,30,0.6739,2023,Q2,0.3261,62
Nairobi,Nairobi Health Centre B,2023-06-01,0.1324,4337.4,78,27,0.6538,2023,Q2,0.3462,51
Nairobi,Nairobi Health Centre B,2023-07-01,0.1324,4337.4,66,49,0.2576,2023,Q3,0.7424,17
Nairobi,Nairobi Health Centre B,2023-08-01,0.1324,4337.4,72,32,0.5556,2023,Q3,0.4444,40
Nairobi,Nairobi Health Centre B,2023-09-01,0.1324,4337.4,65,29,0.5538,2023,Q3,0.4462,36
Nairobi,Nairobi Health Centre B,2023-10-01,0.1324,4337.4,77,28,0.6364,2023,Q4,0.3636,49
Nairobi,Nairobi Health Centre B,2023-11-01,0.1324,4337.4,74,38,0.4865,2023,Q4,0.5135,36
Nairobi,Nairobi Health Centre B,2023-12-01,0.1324,4337.4,80,48,0.4,2023,Q4,0.6,32
Nairobi,Nairobi Community Dispensary,2022-01-01,0.1324,4337.4,48,27,0.4375,2022,Q1,0.5625,21
Nairobi,Nairobi Community Dispensary,2022-02-01,0.1324,4337.4,65,35,0.4615,2022,Q1,0.5385,30
Nairobi,Nairobi Community Dispensary,2022-03-01,0.1324,4337.4,52,20,0.6154,2022,Q1,0.3846,32
Nairobi,Nairobi Community Dispensary,2022-04-01,0.1324,4337.4,53,31,0.4151,2022,Q2,0.5849,22
Nairobi,Nairobi Community Dispensary,2022-05-01,0.1324,4337.4,51,22,0.5686,2022,Q2,0.4314,29
Nairobi,Nairobi Community Dispensary,2022-06-01,0.1324,4337.4,36,23,0.3611,2022,Q2,0.6389,13
Nairobi,Nairobi Community Dispensary,2022-07-01,0.1324,4337.4,38,24,0.3684,2022,Q3,0.6316,14
Nairobi,Nairobi Community Dispensary,2022-08-01,0.1324,4337.4,55,23,0.5818,2022,Q3,0.4182,32
Nairobi,Nairobi Community Dispensary,2022-09-01,0.1324,4337.4,37,23,0.3784,2022,Q3,0.6216,14
Nairobi,Nairobi Community Dispensary,2022-10-01,0.1324,4337.4,37,25,0.3243,2022,Q4,0.6757,12
Nairobi,Nairobi Community Dispensary,2022-11-01,0.1324,4337.4,40,21,0.475,2022,Q4,0.525,19
Nairobi,Nairobi Community Dispensary,2022-12-01,0.1324,4337.4,52,20,0.6154,2022,Q4,0.3846,32
Nairobi,Nairobi Community Dispensary,2023-01-01,0.1324,4337.4,37,15,0.5946,2023,Q1,0.4054,22
Nairobi,Nairobi Community Dispensary,2023-02-01,0.1324,4337.4,46,26,0.4348,2023,Q1,0.5652,20
Nairobi,Nairobi Community Dispensary,2023-03-01,0.1324,4337.4,56,31,0.4464,2023,Q1,0.5536,25
Nairobi,Nairobi Community Dispensary,2023-04-01,0.1324,4337.4,53,36,0.3208,2023,Q2,0.6792,17
Nairobi,Nairobi Community Dispensary,2023-05-01,0.1324,4337.4,52,31,0.4038,2023,Q2,0.5962,21
Nairobi,Nairobi Community Dispensary,2023-06-01,0.1324,4337.4,42,31,0.2619,2023,Q2,0.7381,11
Nairobi,Nairobi Community Dispensary,2023-07-01,0.1324,4337.4,48,18,0.625,2023,Q3,0.375,30
Nairobi,Nairobi Community Dispensary,2023-08-01,0.1324,4337.4,34,17,0.5,2023,Q3,0.5,17
Nairobi,Nairobi Community Dispensary,2023-09-01,0.1324,4337.4,43,26,0.3953,2023,Q3,0.6047,17
Nairobi,Nairobi Community Dispensary,2023-10-01,0.1324,4337.4,48,31,0.3542,2023,Q4,0.6458,17
Nairobi,Nairobi Community Dispensary,2023-11-01,0.1324,4337.4,49,32,0.3469,2023,Q4,0.6531,17
Nairobi,Nairobi Community Dispensary,2023-12-01,0.1324,4337.4,43,27,0.3721,2023,Q4,0.6279,16
Mombasa,Mombasa County Referral Hospital,2022-01-01,0.1638,1714.9,48,24,0.5,2022,Q1,0.5,24
Mombasa,Mombasa County Referral Hospital,2022-02-01,0.1638,1714.9,38,14,0.6316,2022,Q1,0.3684,24
Mombasa,Mombasa County Referral Hospital,2022-03-01,0.1638,1714.9,35,17,0.5143,2022,Q1,0.4857,18
Mombasa,Mombasa County Referral Hospital,2022-04-01,0.1638,1714.9,41,26,0.3659,2022,Q2,0.6341,15
Mombasa,Mombasa County Referral Hospital,2022-05-01,0.1638,1714.9,32,17,0.4688,2022,Q2,0.5312,15
Mombasa,Mombasa County Referral Hospital,2022-06-01,0.1638,1714.9,32,14,0.5625,2022,Q2,0.4375,18
Mombasa,Mombasa County Referral Hospital,2022-07-01,0.1638,1714.9,36,19,0.4722,2022,Q3,0.5278,17
Mombasa,Mombasa County Referral Hospital,2022-08-01,0.1638,1714.9,21,13,0.381,2022,Q3,0.619,8
Mombasa,Mombasa County Referral Hospital,2022-09-01,0.1638,1714.9,39,18,0.5385,2022,Q3,0.4615,21
Mombasa,Mombasa County Referral Hospital,2022-10-01,0.1638,1714.9,35,19,0.4571,2022,Q4,0.5429,16
Mombasa,Mombasa County Referral Hospital,2022-11-01,0.1638,1714.9,51,23,0.549,2022,Q4,0.451,28
Mombasa,Mombasa County Referral Hospital,2022-12-01,0.1638,1714.9,30,12,0.6,2022,Q4,0.4,18
Mombasa,Mombasa County Referral Hospital,2023-01-01,0.1638,1714.9,45,16,0.6444,2023,Q1,0.3556,29
Mombasa,Mombasa County Referral Hospital,2023-02-01,0.1638,1714.9,32,12,0.625,2023,Q1,0.375,20
Mombasa,Mombasa County Referral Hospital,2023-03-01,0.1638,1714.9,41,14,0.6585,2023,Q1,0.3415,27
Mombasa,Mombasa County Referral Hospital,2023-04-01,0.1638,1714.9,46,26,0.4348,2023,Q2,0.5652,20
Mombasa,Mombasa County Referral Hospital,2023-05-01,0.1638,1714.9,35,17,0.5143,2023,Q2,0.4857,18
Mombasa,Mombasa County Referral Hospital,2023-06-01,0.1638,1714.9,46,25,0.4565,2023,Q2,0.5435,21
Mombasa,Mombasa County Referral Hospital,2023-07-01,0.1638,1714.9,37,12,0.6757,2023,Q3,0.3243,25
Mombasa,Mombasa County Referral Hospital,2023-08-01,0.1638,1714.9,30,12,0.6,2023,Q3,0.4,18
Mombasa,Mombasa County Referral Hospital,2023-09-01,0.1638,1714.9,33,12,0.6364,2023,Q3,0.3636,21
Mombasa,Mombasa County Referral Hospital,2023-10-01,0.1638,1714.9,30,11,0.6333,2023,Q4,0.3667,19
Mombasa,Mombasa County Referral Hospital,2023-11-01,0.1638,1714.9,36,12,0.6667,2023,Q4,0.3333,24
Mombasa,Mombasa County Referral Hospital,2023-12-01,0.1638,1714.9,43,14,0.6744,2023,Q4,0.3256,29
Mombasa,Mombasa Sub-County Hospital,2022-01-01,0.1638,1714.9,55,37,0.3273,2022,Q1,0.6727,18
Mombasa,Mombasa Sub-County Hospital,2022-02-01,0.1638,1714.9,54,23,0.5741,2022,Q1,0.4259,31
Mombasa,Mombasa Sub-County Hospital,2022-03-01,0.1638,1714.9,45,32,0.2889,2022,Q1,0.7111,13
Mombasa,Mombasa Sub-County Hospital,2022-04-01,0.1638,1714.9,51,30,0.4118,2022,Q2,0.5882,21
Mombasa,Mombasa Sub-County Hospital,2022-05-01,0.1638,1714.9,40,21,0.475,2022,Q2,0.525,19
Mombasa,Mombasa Sub-County Hospital,2022-06-01,0.1638,1714.9,58,27,0.5345,2022,Q2,0.4655,31
Mombasa,Mombasa Sub-County Hospital,2022-07-01,0.1638,1714.9,48,24,0.5,2022,Q3,0.5,24
Mombasa,Mombasa Sub-County Hospital,2022-08-01,0.1638,1714.9,40,14,0.65,2022,Q3,0.35,26
Mombasa,Mombasa Sub-County Hospital,2022-09-01,0.1638,1714.9,40,13,0.675,2022,Q3,0.325,27
Mombasa,Mombasa Sub-County Hospital,2022-10-01,0.1638,1714.9,50,23,0.54,2022,Q4,0.46,27
Mombasa,Mombasa Sub-County Hospital,2022-11-01,0.1638,1714.9,29,10,0.6552,2022,Q4,0.3448,19
Mombasa,Mombasa Sub-County Hospital,2022-12-01,0.1638,1714.9,42,23,0.4524,2022,Q4,0.5476,19
Mombasa,Mombasa Sub-County Hospital,2023-01-01,0.1638,1714.9,45,18,0.6,2023,Q1,0.4,27
Mombasa,Mombasa Sub-County Hospital,2023-02-01,0.1638,1714.9,43,27,0.3721,2023,Q1,0.6279,16
Mombasa,Mombasa Sub-County Hospital,2023-03-01,0.1638,1714.9,50,16,0.68,2023,Q1,0.32,34
Mombasa,Mombasa Sub-County Hospital,2023-04-01,0.1638,1714.9,51,39,0.2353,2023,Q2,0.7647,12
Mombasa,Mombasa Sub-County Hospital,2023-05-01,0.1638,1714.9,40,31,0.225,2023,Q2,0.775,9
Mombasa,Mombasa Sub-County Hospital,2023-06-01,0.1638,1714.9,46,34,0.2609,2023,Q2,0.7391,12
Mombasa,Mombasa Sub-County Hospital,2023-07-01,0.1638,1714.9,37,26,0.2973,2023,Q3,0.7027,11
Mombasa,Mombasa Sub-County Hospital,2023-08-01,0.1638,1714.9,43,17,0.6047,2023,Q3,0.3953,26
Mombasa,Mombasa Sub-County Hospital,2023-09-01,0.1638,1714.9,42,24,0.4286,2023,Q3,0.5714,18
Mombasa,Mombasa Sub-County Hospital,2023-10-01,0.1638,1714.9,34,13,0.6176,2023,Q4,0.3824,21
Mombasa,Mombasa Sub-County Hospital,2023-11-01,0.1638,1714.9,41,18,0.561,2023,Q4,0.439,23
Mombasa,Mombasa Sub-County Hospital,2023-12-01,0.1638,1714.9,50,34,0.32,2023,Q4,0.68,16
Mombasa,Mombasa Health Centre A,2022-01-01,0.1638,1714.9,44,32,0.2727,2022,Q1,0.7273,12
Mombasa,Mombasa Health Centre A,2022-02-01,0.1638,1714.9,35,20,0.4286,2022,Q1,0.5714,15
Mombasa,Mombasa Health Centre A,2022-03-01,0.1638,1714.9,37,14,0.6216,2022,Q1,0.3784,23
Mombasa,Mombasa Health Centre A,2022-04-01,0.1638,1714.9,40,25,0.375,2022,Q2,0.625,15
Mombasa,Mombasa Health Centre A,2022-05-01,0.1638,1714.9,50,33,0.34,2022,Q2,0.66,17
Mombasa,Mombasa Health Centre A,2022-06-01,0.1638,1714.9,40,14,0.65,2022,Q2,0.35,26
Mombasa,Mombasa Health Centre A,2022-07-01,0.1638,1714.9,34,20,0.4118,2022,Q3,0.5882,14
Mombasa,Mombasa Health Centre A,2022-08-01,0.1638,1714.9,31,17,0.4516,2022,Q3,0.5484,14
Mombasa,Mombasa Health Centre A,2022-09-01,0.1638,1714.9,34,11,0.6765,2022,Q3,0.3235,23
Mombasa,Mombasa Health Centre A,2022-10-01,0.1638,1714.9,28,16,0.4286,2022,Q4,0.5714,12
Mombasa,Mombasa Health Centre A,2022-11-01,0.1638,1714.9,43,30,0.3023,2022,Q4,0.6977,13
Mombasa,Mombasa Health Centre A,2022-12-01,0.1638,1714.9,40,23,0.425,2022,Q4,0.575,17
Mombasa,Mombasa Health Centre A,2023-01-01,0.1638,1714.9,41,23,0.439,2023,Q1,0.561,18
Mombasa,Mombasa Health Centre A,2023-02-01,0.1638,1714.9,53,24,0.5472,2023,Q1,0.4528,29
Mombasa,Mombasa Health Centre A,2023-03-01,0.1638,1714.9,44,15,0.6591,2023,Q1,0.3409,29
Mombasa,Mombasa Health Centre A,2023-04-01,0.1638,1714.9,52,25,0.5192,2023,Q2,0.4808,27
Mombasa,Mombasa Health Centre A,2023-05-01,0.1638,1714.9,44,14,0.6818,2023,Q2,0.3182,30
Mombasa,Mombasa Health Centre A,2023-06-01,0.1638,1714.9,37,25,0.3243,2023,Q2,0.6757,12
Mombasa,Mombasa Health Centre A,2023-07-01,0.1638,1714.9,41,18,0.561,2023,Q3,0.439,23
Mombasa,Mombasa Health Centre A,2023-08-01,0.1638,1714.9,34,20,0.4118,2023,Q3,0.5882,14
Mombasa,Mombasa Health Centre A,2023-09-01,0.1638,1714.9,31,17,0.4516,2023,Q3,0.5484,14
Mombasa,Mombasa Health Centre A,2023-10-01,0.1638,1714.9,47,27,0.4255,2023,Q4,0.5745,20
Mombasa,Mombasa Health Centre A,2023-11-01,0.1638,1714.9,32,23,0.2812,2023,Q4,0.7188,9
Mombasa,Mombasa Health Centre A,2023-12-01,0.1638,1714.9,41,15,0.6341,2023,Q4,0.3659,26
Mombasa,Mombasa Health Centre B,2022-01-01,0.1638,1714.9,38,16,0.5789,2022,Q1,0.4211,22
Mombasa,Mombasa Health Centre B,2022-02-01,0.1638,1714.9,30,12,0.6,2022,Q1,0.4,18
Mombasa,Mombasa Health Centre B,2022-03-01,0.1638,1714.9,31,16,0.4839,2022,Q1,0.5161,15
Mombasa,Mombasa Health Centre B,2022-04-01,0.1638,1714.9,45,14,0.6889,2022,Q2,0.3111,31
Mombasa,Mombasa Health Centre B,2022-05-01,0.1638,1714.9,28,10,0.6429,2022,Q2,0.3571,18
Mombasa,Mombasa Health Centre B,2022-06-01,0.1638,1714.9,38,17,0.5526,2022,Q2,0.4474,21
Mombasa,Mombasa Health Centre B,2022-07-01,0.1638,1714.9,26,18,0.3077,2022,Q3,0.6923,8
Mombasa,Mombasa Health Centre B,2022-08-01,0.1638,1714.9,41,19,0.5366,2022,Q3,0.4634,22
Mombasa,Mombasa Health Centre B,2022-09-01,0.1638,1714.9,23,7,0.6957,2022,Q3,0.3043,16
Mombasa,Mombasa Health Centre B,2022-10-01,0.1638,1714.9,33,12,0.6364,2022,Q4,0.3636,21
Mombasa,Mombasa Health Centre B,2022-11-01,0.1638,1714.9,42,16,0.619,2022,Q4,0.381,26
Mombasa,Mombasa Health Centre B,2022-12-01,0.1638,1714.9,29,21,0.2759,2022,Q4,0.7241,8
Mombasa,Mombasa Health Centre B,2023-01-01,0.1638,1714.9,29,21,0.2759,2023,Q1,0.7241,8
Mombasa,Mombasa Health Centre B,2023-02-01,0.1638,1714.9,32,22,0.3125,2023,Q1,0.6875,10
Mombasa,Mombasa Health Centre B,2023-03-01,0.1638,1714.9,36,22,0.3889,2023,Q1,0.6111,14
Mombasa,Mombasa Health Centre B,2023-04-01,0.1638,1714.9,44,25,0.4318,2023,Q2,0.5682,19
Mombasa,Mombasa Health Centre B,2023-05-01,0.1638,1714.9,42,15,0.6429,2023,Q2,0.3571,27
Mombasa,Mombasa Health Centre B,2023-06-01,0.1638,1714.9,44,12,0.7273,2023,Q2,0.2727,32
Mombasa,Mombasa Health Centre B,2023-07-01,0.1638,1714.9,36,19,0.4722,2023,Q3,0.5278,17
Mombasa,Mombasa Health Centre B,2023-08-01,0.1638,1714.9,34,19,0.4412,2023,Q3,0.5588,15
Mombasa,Mombasa Health Centre B,2023-09-01,0.1638,1714.9,25,14,0.44,2023,Q3,0.56,11
Mombasa,Mombasa Health Centre B,2023-10-01,0.1638,1714.9,26,17,0.3462,2023,Q4,0.6538,9
Mombasa,Mombasa Health Centre B,2023-11-01,0.1638,1714.9,29,20,0.3103,2023,Q4,0.6897,9
Mombasa,Mombasa Health Centre B,2023-12-01,0.1638,1714.9,38,22,0.4211,2023,Q4,0.5789,16
Mombasa,Mombasa Community Dispensary,2022-01-01,0.1638,1714.9,71,52,0.2676,2022,Q1,0.7324,19
Mombasa,Mombasa Community Dispensary,2022-02-01,0.1638,1714.9,78,38,0.5128,2022,Q1,0.4872,40
Mombasa,Mombasa Community Dispensary,2022-03-01,0.1638,1714.9,66,46,0.303,2022,Q1,0.697,20
Mombasa,Mombasa Community Dispensary,2022-04-01,0.1638,1714.9,70,23,0.6714,2022,Q2,0.3286,47
Mombasa,Mombasa Community Dispensary,2022-05-01,0.1638,1714.9,62,26,0.5806,2022,Q2,0.4194,36
Mombasa,Mombasa Community Dispensary,2022-06-01,0.1638,1714.9,58,35,0.3966,2022,Q2,0.6034,23
Mombasa,Mombasa Community Dispensary,2022-07-01,0.1638,1714.9,66,29,0.5606,2022,Q3,0.4394,37
Mombasa,Mombasa Community Dispensary,2022-08-01,0.1638,1714.9,73,54,0.2603,2022,Q3,0.7397,19
Mombasa,Mombasa Community Dispensary,2022-09-01,0.1638,1714.9,69,31,0.5507,2022,Q3,0.4493,38
Mombasa,Mombasa Community Dispensary,2022-10-01,0.1638,1714.9,60,39,0.35,2022,Q4,0.65,21
Mombasa,Mombasa Community Dispensary,2022-11-01,0.1638,1714.9,65,43,0.3385,2022,Q4,0.6615,22
Mombasa,Mombasa Community Dispensary,2022-12-01,0.1638,1714.9,54,28,0.4815,2022,Q4,0.5185,26
Mombasa,Mombasa Community Dispensary,2023-01-01,0.1638,1714.9,74,45,0.3919,2023,Q1,0.6081,29
Mombasa,Mombasa Community Dispensary,2023-02-01,0.1638,1714.9,76,28,0.6316,2023,Q1,0.3684,48
Mombasa,Mombasa Community Dispensary,2023-03-01,0.1638,1714.9,79,29,0.6329,2023,Q1,0.3671,50
Mombasa,Mombasa Community Dispensary,2023-04-01,0.1638,1714.9,84,38,0.5476,2023,Q2,0.4524,46
Mombasa,Mombasa Community Dispensary,2023-05-01,0.1638,1714.9,78,29,0.6282,2023,Q2,0.3718,49
Mombasa,Mombasa Community Dispensary,2023-06-01,0.1638,1714.9,57,22,0.614,2023,Q2,0.386,35
Mombasa,Mombasa Community Dispensary,2023-07-01,0.1638,1714.9,73,34,0.5342,2023,Q3,0.4658,39
